,date,open,high,low,close
2839,2021-02-07,38192.0,40817.0,38192.0,39279.0
2840,2021-02-08,39282.0,39610.0,37524.0,38833.0
2841,2021-02-09,38779.0,46471.0,37965.0,46308.0
2842,2021-02-10,46503.0,48025.0,45120.0,46570.0
2843,2021-02-11,46511.0,47262.0,43872.0,44849.0
2844,2021-02-12,44810.0,48463.0,44032.0,47816.0
2845,2021-02-13,47927.0,48687.0,46379.0,47414.0
2846,2021-02-14,47399.0,48010.0,46297.0,46941.0
2847,2021-02-15,47007.0,49532.0,47007.0,48608.0
2848,2021-02-16,48565.0,48824.0,46160.0,47898.0
2849,2021-02-17,47902.0,50350.0,47380.0,49238.0
2850,2021-02-18,49211.0,52548.0,49030.0,52144.0
2851,2021-02-19,52273.0,52492.0,51054.0,51733.0
2852,2021-02-20,51706.0,56259.0,50907.0,56039.0
2853,2021-02-21,56084.0,57851.0,54456.0,56378.0
2854,2021-02-22,56312.0,58641.0,55760.0,57669.0
2855,2021-02-23,57641.0,57641.0,50868.0,54411.0
2856,2021-02-24,54304.0,54304.0,45201.0,48692.0
2857,2021-02-25,48960.0,51741.0,47196.0,49849.0
2858,2021-02-26,49926.0,51983.0,46993.0,46993.0
2859,2021-02-27,46952.0,48386.0,44538.0,46551.0
2860,2021-02-28,46531.0,48484.0,45370.0,46654.0
2861,2021-03-01,46108.0,46778.0,43345.0,44970.0
2862,2021-03-02,45089.0,50028.0,45089.0,49787.0
2863,2021-03-03,49834.0,50249.0,47462.0,48532.0
2864,2021-03-04,48550.0,52639.0,48451.0,50577.0
2865,2021-03-05,50411.0,51777.0,47658.0,48727.0
2866,2021-03-06,48557.0,49699.0,46520.0,49092.0
2867,2021-03-07,49051.0,49257.0,47331.0,49019.0
2868,2021-03-08,48973.0,51313.0,48973.0,51313.0
2869,2021-03-09,51174.0,52357.0,49442.0,52329.0
2870,2021-03-10,52407.0,55072.0,51982.0,54700.0
2871,2021-03-11,54872.0,57369.0,53337.0,56020.0
2872,2021-03-12,55822.0,58102.0,54564.0,57789.0
2873,2021-03-13,57924.0,57924.0,55353.0,57354.0
2874,2021-03-14,57228.0,61712.0,56220.0,61315.0
2875,2021-03-15,61200.0,61679.0,59429.0,59429.0
2876,2021-03-16,59195.0,60615.0,55348.0,55805.0
2877,2021-03-17,55857.0,56919.0,53567.0,56830.0
2878,2021-03-18,57141.0,59097.0,54471.0,59015.0
2879,2021-03-19,59269.0,60186.0,57511.0,57922.0
2880,2021-03-20,57894.0,59572.0,56488.0,58243.0
2881,2021-03-21,58240.0,60301.0,58208.0,58376.0
2882,2021-03-22,58254.0,58835.0,56069.0,57574.0
2883,2021-03-23,57355.0,58609.0,54109.0,54370.0
2884,2021-03-24,54241.0,55836.0,53286.0,54585.0
2885,2021-03-25,54487.0,57239.0,52192.0,52735.0
2886,2021-03-26,52527.0,53397.0,50624.0,51417.0
2887,2021-03-27,51440.0,55033.0,51376.0,55033.0
2888,2021-03-28,55257.0,56597.0,54090.0,55832.0
2889,2021-03-29,55754.0,56498.0,54719.0,55728.0
2890,2021-03-30,55857.0,58389.0,54964.0,57635.0
2891,2021-03-31,57609.0,59659.0,57113.0,58669.0
2892,2021-04-01,58757.0,59905.0,57142.0,58817.0
2893,2021-04-02,58772.0,59416.0,58247.0,58801.0
2894,2021-04-03,58754.0,60323.0,58530.0,59060.0
2895,2021-04-04,58997.0,59786.0,57060.0,57060.0
2896,2021-04-05,57097.0,58402.0,56856.0,58229.0
2897,2021-04-06,58244.0,59360.0,56929.0,58707.0
2898,2021-04-07,58833.0,59735.0,57517.0,58062.0
2899,2021-04-08,58013.0,58662.0,55565.0,56134.0
2900,2021-04-09,55990.0,58183.0,55865.0,58066.0
2901,2021-04-10,58091.0,58848.0,57760.0,58153.0
2902,2021-04-11,58136.0,61206.0,57935.0,59979.0
2903,2021-04-12,59787.0,60574.0,59334.0,59988.0
2904,2021-04-13,60025.0,61262.0,59651.0,59911.0
2905,2021-04-14,59896.0,63579.0,59871.0,63577.0
